,Item_Outlet_Sales
0,1666.8534548256753
1,1438.1940275912682
2,587.1853447189485
3,2534.094020250669
4,6155.691461446229
5,1903.356516533311
6,596.4117979389904
7,2108.5094511414527
8,1516.0402866388645
9,3009.396510362006
10,1933.969718021866
11,1352.265060770057
12,559.8477869456143
13,2067.7584692067035
14,928.80928606185
15,2457.4028811139606
16,3138.0955072260485
17,2817.3514910868535
18,2600.633488964866
19,466.8205184982623
20,2838.1261496697753
21,3921.7162304165017
22,765.3016594317239
23,343.4718065136853
24,3035.5298640064466
25,638.6924207229822
26,804.4319393715862
27,2622.4378853744806
28,3896.4182733503158
29,2001.499991863389
30,6.800804884231812
31,2734.8146489839173
32,368.626495598733
33,5738.32374676107
34,2653.0510868630354
35,5523.756388289916
36,2141.6098006348197
37,239.32883894703255
38,3184.9546457071383
39,2579.1811527714963
40,1856.7806613128755
41,239.32883894703255
42,3151.7551231791963
43,2134.2622861124228
44,576.378184219914
45,1903.356516533311
46,167.8732505281819
47,3272.662469524812
48,4039.595856089789
49,2067.7584692067035
50,891.8345284386363
51,1678.7223962878118
52,3009.064018691522
53,2098.371670695258
54,5330.940721831454
55,2923.954284422889
56,2914.4502933416766
57,608.7142334691475
58,662.2169901856736
59,1361.8311631914
60,2527.2121980936463
61,3563.0149906707356
62,3282.2731265698067
63,1589.9430142878127
64,2414.113354953569
65,2295.6133290070825
66,2653.0510868630354
67,3884.164450656267
68,2802.375884344399
69,3652.6521249441894
70,2912.0545782146237
71,2607.1656340845066
72,1763.8600089580223
73,3896.4182733503158
74,3996.619863473149
75,2811.657445808699
76,364.7022628534094
77,2457.4028811139606
78,634.3704325684951
79,2457.4028811139606
80,2555.5463564440392
81,1399.5334041805656
82,1557.7231053398566
83,3157.549211782871
84,3001.983109076135
85,1773.1828869973738
86,3919.4956547317884
87,3734.3058591040376
88,722.0121332713308
89,574.7803298654821
90,2579.148359214089
91,5918.697969334267
92,2607.1656340845066
93,1453.9201873873378
94,2067.7584692067035
95,765.3734648676566
96,2166.2733542875967
97,2153.504420865281
98,3077.50516312788
99,1283.634959014684
100,2160.7739842454284
101,1589.9430142878127
102,2824.828991858896
103,2064.6318743047195
104,519.1207847292305
105,6131.5590909466
106,730.0407655185962
107,841.944770574158
108,1445.449831645199
109,3626.2571407323344
110,393.86604352982874
111,3120.794689288272
112,232.55321608481685
113,5947.9594645754605
114,1607.5986939661038
115,2579.1811527714963
116,891.8345284386363
117,1507.304423746156
118,1601.9692534600756
119,1860.0669903729176
120,4944.220835105299
121,639.3274349577025
122,1373.829586925235
123,1395.5545869304503
124,3350.494769937201
125,5287.654054217215
126,2014.2872041073854
127,444.89945509228403
128,1426.750384762012
129,1694.0704354071215
130,2642.205352024211
131,1922.3875402731362
132,1768.1235250577379
133,253.11886330980036
134,1276.3458123415746
135,390.91212839696567
136,413.3967365051968
137,1216.9650122517132
138,352.18469523287104
139,2457.4028811139606
140,479.2255333517285
141,650.8643469344963
142,1554.2139446189012
143,2127.7341938501663
144,1449.3668374720125
145,2040.1985195695563
146,2501.649029234179
147,5287.654054217215
148,1768.1235250577379
149,1557.599704487942
150,1903.356516533311
151,3896.415414804164
152,389.9793443026073
153,4219.885966359038
154,2355.159934909729
155,2122.027206167378
156,571.4412244715442
157,1035.3129173471573
158,1373.0163611466114
159,891.8345284386363
160,2606.7451837118915
161,3259.029522893148
162,3964.1532421366514
163,3194.869566474282
164,1125.5197205185063
165,267.65951446599036
166,2243.2976921898717
167,2838.1261496697753
168,2433.1443786933955
169,479.2255333517285
170,2953.424271390574
171,2666.684033494699
172,206.59888677693257
173,107.7551554446867
174,2488.0160826025153
175,3318.6457607203824
176,3105.9174084318984
177,4900.93416749106
178,1103.2216397652808
179,6045.773302306378
180,1768.1235250577379
181,2984.534858725192
182,3907.237873967519
183,922.4477299271913
184,224.6855784693008
185,1821.9049131684799
186,3259.1779364369704
187,4113.372100388572
188,3739.228318718821
189,2739.5752192625996
190,1689.0110734674856
191,3457.9278082933597
192,2457.4028811139606
193,568.7445158464031
194,795.9148609202789
195,3852.1559045503755
196,560.3216374617339
197,3184.9546457071383
198,2745.716540268644
199,138.05914615677332
200,2831.799754330006
201,2097.768703746813
202,3215.4084146381174
203,2414.113354953569
204,1771.1295723381686
205,1928.9196853927772
206,3939.7049409645556
207,1373.829586925235
208,3270.208418303435
209,1903.356516533311
210,2814.978932030691
211,56.6702970136262
212,2885.329599024674
213,1540.997115874117
214,4000.2189757497135
215,2191.836523147064
216,354.3066996018678
217,6062.594124605692
218,2457.4028811139606
219,4065.5029158619254
220,416.47529725643204
221,2158.4689201210454
222,2725.78284007336
223,3075.5838410927695
224,1885.6301592323841
225,1426.1677884190053
226,3286.2169020064243
227,2576.1319822233368
228,1072.1541077490467
229,1635.3627737501042
230,4106.955569538338
231,360.97277156990657
232,1589.9430142878127
233,1623.5639286652818
234,1125.5197205185063
235,1695.5432185871266
236,2193.3513397959564
237,1922.3875402731362
238,586.3047714448275
239,2905.6529470074406
240,52.769795134935734
241,3513.077455979221
242,253.1916365695047
243,1722.9685444080308
244,219.00390163039881
